bin_id,location,waste_level,status,last_updated,temperature,bin_type,capacity,daily_average_waste,collection_frequency,latitude,longitude
BIN_1,"Nairobi, Westlands, Parklands, The Sarit Centre",6,Empty,2025-01-04 18:49:41.424032,18.27,Organic,78,19.2,Daily,-1.262186,36.805055
BIN_2,"Mombasa, Old Town, Moi Avenue, Mombasa Building",79,Full,2025-01-02 12:49:41.424074,39.15,Plastic,66,10.93,Weekly,-4.061387,39.666245
BIN_3,"Kisumu, Milimani, Oginga Odinga Street, Kisumu Mall",30,Empty,2025-01-02 18:49:41.424092,35.59,Paper,126,6.83,Weekly,-0.091702,34.767957
BIN_4,"Nakuru, Kiamunyi, Kenyatta Avenue, Nakuru Building",39,Half Full,2024-12-31 19:49:41.424103,18.1,Paper,107,11.63,Bi-Weekly,-0.285236,36.071958
BIN_5,"Eldoret, Kipkarren Street, Eldoret Plaza",15,Empty,2025-01-05 09:49:41.424114,30.44,Plastic,63,17.51,Daily,0.520192,35.27752
BIN_6,"Nairobi, Pangani, Moi Avenue, Pangani Building",100,Full,2025-01-03 23:49:41.424124,35.24,Metal,81,16.14,Bi-Weekly,-1.283253,36.828711
BIN_7,"Mombasa, Port Reitz, Port Mombasa Building",26,Empty,2025-01-01 20:49:41.444321,27.11,Organic,101,13.21,Daily,-4.040554,39.641271
BIN_8,"Kisumu, Kibuye, Oile Road, Kibuye Building",1,Empty,2025-01-01 16:49:41.444401,35.0,Plastic,133,13.08,Weekly,-0.094606,34.759593
BIN_9,"Nakuru, Lanet, Lanet Mall",39,Half Full,2025-01-05 04:49:41.444421,25.25,Metal,101,18.08,Bi-Weekly,-0.283634,36.081892
BIN_10,"Eldoret, Zion, Zion Building",41,Half Full,2025-01-01 02:49:41.444439,32.81,Metal,135,16.92,Weekly,0.514277,35.276978
BIN_156,"Eldoret, Zion, Zion Building",41,Half Full,2025-01-01 02:49:41.444439,32.81,Metal,135,16.92,Weekly,0.483, 35.519
BIN_58,Id ex ut et velit sed eos,58,Full,2025-01-01 00:00:00,1.0,Metal,94,84.0,Daily,1.45,37.112
BIN_97,Iure dolorem ea et nisi incidunt esse debitis odit lorem maiores debitis eu in in,97,Empty,2025-01-01 00:00:00,27.0,Plastic,9,13.0,Weekly,32.0,83.0
BIN_90,Animi est dolor iure incidunt voluptates sit Nam facere dolorem quis similique et dolor et cillum nulla nemo,40,Empty,2025-01-01 00:00:00,55.0,Organic,41,72.0,Daily,1.519368406657314,36.94702148437501
BIN_66,Nairobi,0,Empty,2025-01-01 00:00:00,28.0,Organic,300,11.0,Daily,-1.5681025418682442,37.04589843750001
Id rerum vel a in rem repudiandae saepe dolore aut sunt ea saepe aliquid sunt,Quia eos eveniet nostrum provident quo sunt illum odit qui autem distinctio,97,Full,2025-01-01 00:00:00,24.0,Plastic,18,22.0,Daily,1.3098874915889294,36.77742004394532
Quibusdam corporis non sunt a nostrum unde sit deserunt magna nulla Nam sint deleniti mollitia alias rerum,Ad et blanditiis non laborum Non esse doloribus proident quasi rerum vitae nostrud voluptas nisi,89,Full,2025-01-01 00:00:00,60.0,Plastic,39,7.0,Weekly,1.2920393104109464,36.79372787475587
Voluptas omnis fugiat dolor amet voluptate exercitationem officia accusamus ratione ut natus quidem ipsam cillum fugiat esse et aut,"Baawa ward, Samburu Central, Samburu, Rift Valley, Kenya",79,Half Full,2025-01-01 00:00:00,85.0,Plastic,69,88.0,Bi-Weekly,1.2973594545358154,36.85758590698243
55,"Baawa ward, Samburu Central, Samburu, Rift Valley, Kenya",96,Full,2025-01-01 00:00:00,100.0,Metal,96,80.0,Daily,1.3025079704567069,36.82668685913087
55,"Ndoto ward, Samburu North, Samburu, Rift Valley, Kenya",96,Full,2025-01-01 00:00:00,100.0,Metal,96,80.0,Daily,1.6156343907590953,36.95251464843751
85,"Golden Gate Drive, South B, Nairobi South ward, Starehe, Nairobi, Nairobi County, 00603, Kenya",67,Empty,2025-01-01 00:00:00,76.0,Organic,50,26.0,Weekly,-1.3147142015111242,36.83887481689454
